LINK	ORIGINAL	DATE	TITLE	DESC	VIEWS	TAG	COCODESC1	COCODESC2	COCODESC3	COCODESC4	COCODESC5	LATITUDE	LONGITUDE	COUNTRY
http://flickr.com/photo.gne?id=5915494136_da3cfa7c5a_z.jpg	http://farm7.staticflickr.com/6048/5915494136_da3cfa7c5a_z.jpg	2011-07-08	Copyright Magali Nouguier -		84	Pors; Carn; Kite; Surf; Finistère; Bretagne; 	A person kitesurfing over the waves of the ocean's shore.	a kite surfer is doing a flying trick over some water	A man is flying up in the air and having fun. 	A guy is waterboarding in the ocean on a windy day.	A person kite boarding in rough seas near the shoreline.	47.835309	-4.348547	France
http://flickr.com/photo.gne?id=5878453277_eea657a01d_z.jpg	http://farm6.staticflickr.com/5119/5878453277_eea657a01d_z.jpg	2011-06-27	Amy and a sheep		24	watkins glen; new york; farm sanctuary; 	Young woman with sheep on straw covered floor.	A child places his hands on the head and neck of a sheep while another sheep looks at his face.	A person petting the head of a cute fluffy sheep.	A child is petting a sheep while another sheep watches.	A woman kneeling to pet animals while others wait. 	42.387712	-77.032442	United States
http://flickr.com/photo.gne?id=8027793561_893d2d9f45_z.jpg	http://farm9.staticflickr.com/8036/8027793561_893d2d9f45_z.jpg	2012-09-26	Mid-September Swell | Cape Hatteras Lighthouse	A surfer gets high up on a wave during a mid-September swell on the Outer Banks of North Carolina...<a href="http://www.facebook.com/uprootedphotographer" rel="noreferrer nofollow">Facebook</a> | <a href="http://www.uprootedphotographer.com" rel="noreferrer nofollow">www.uprootedphotographer.com</a> | <a href="http://www.gplus.to/uprootedphotographer" rel="noreferrer nofollow">Google+</a> | <a href="http://www.500px.com/UprootedPhotographer" rel="noreferrer nofollow">500px</a>..©2012 Zach Frailey	1519	surf; surfer; surfing; beach; OBX; Outer Banks; Cape Hatteras; lighthouse; ocean; sports; action; North; Carolina; NC; East Coast surf; swell; waves; buxton; wetsuit; surf board; nikon; photography; photographer; 	A surfer on a white board riding a small wave.	a male surfer is riding a wave on a sunny day	Surfer at the height of a large wave looks down. 	A young man riding on a surf board on an ocean wave.	A woman surfer riding the waves in the ocean.	35.252628	-75.522422	United States
http://flickr.com/photo.gne?id=5055051223_ed3fe568bb_z.jpg	http://farm5.staticflickr.com/4103/5055051223_ed3fe568bb_z.jpg	2010-10-05	shanghai_19		154	shanghai; china; canon; 7d; clara-maya; street; shanghai streets; motorbike; motorcycle; chinese; parking; attendant; volunteer; 	Two men talking to each other on a street corner
	Two people are sitting on chairs talking on at a corner.	Two men sitting on the street in front of a building.	Street cleaners are taking a rest from work.	Two men setting next to each other on the street .	31.235885	121.483705	China
http://flickr.com/photo.gne?id=4749894768_c44e05fd92_z.jpg	http://farm5.staticflickr.com/4116/4749894768_c44e05fd92_z.jpg	2010-06-30	Tennis	Aunt Sue shows off her tennis skills.	316	Sue; Violet; tennis; Ben; 2010; June 2010; WSTC; 	A woman is playing tennis with her children.	A mother and her children play on a grass tennis court	A woman hitting a tennis ball with a racquet	The woman serves the tennis ball as a child watches.	A woman hits a tennis ball with some kids.	40.719764	-73.848355	United States
http://flickr.com/photo.gne?id=2992299514_73c1a1fee5_z.jpg	http://farm4.staticflickr.com/3053/2992299514_73c1a1fee5_z.jpg	2008-11-01	Love Park		619	philadelphia; philly; love; love park; park; skate; skate boarding; Canon EF 100mm f/2.8 macro; 	A man riding on a skateboard on the sidewalk.	a kid riding on a skateboard on the cement	There is a skateboarder riding his board on the sidewalk	A skateboarder with one fut on a skateboard raising it up.	A pavement where a person foot are seen having skates. 	39.954227	-75.165946	United States
http://flickr.com/photo.gne?id=9438601294_e8caaf2971_z.jpg	http://farm8.staticflickr.com/7308/9438601294_e8caaf2971_z.jpg	2013-08-04	Bus Barker on Sule Pagoda Road	In Yangon the buses have no signage, only a barker shouting out destinations as the bus slows to add passengers to its burden.	1673	Yangon; Rangoon; Myanmar; Burma; Asia; Southeast Asia; travel; Burmese; people; portraits; street; photography; street photography; candid; transport; transportation; 	A man wearing a t-shirt stands in the door way of a white bus.	A man in a white tee shirt standing in the door of a bus.	A person standing in the doorway of a mass transit vehicle.	A young man standing in the doorway of a bus	A boy standing in the door of a bus.	16.774589	96.158673	Myanmar
http://flickr.com/photo.gne?id=7209556862_8431c062d7_z.jpg	http://farm8.staticflickr.com/7103/7209556862_8431c062d7_z.jpg	2012-05-16	Weymouth Pavilion - Weymouth Park & Ride bus	It was such a nice day, that we headed to Weymouth and Portland. Lucky to have blue skys as well after previous rainy days...This is the Weymouth Pavilion...Inside is a tourist information centre, you can pick up leaflets, and buy souvenirs if you like...Saw this bus go past for Weymouth Park &amp; Ride. Made by Optare...<a href="http://www.dorsetforyou.com" rel="noreferrer nofollow">www.dorsetforyou.com</a>..The route is Mount Pleasant ~ Seafront ~ Pavilion (and reverse of that).	1054	weymouth; dorset; england; united kingdom; great britain; portland; weymouth & portland borough council; english channel; weymouth bay; weymouth beach; central beach; central beach, weymouth; the esplanade; the esplanade weymouth; weymouth pavilion; bus; weymouth park & ride; optare; dorset county council; mount pleasant; seafront; p & r; hotel rex; 	a green and white bus is on the street	a public transit bus on a city street	the signs states all directions and points up	An empty city bus travels down a city street.	A green and blue bus driving down a street.	50.609130	-2.448921	United Kingdom
http://flickr.com/photo.gne?id=3819672499_7d69c44e49_z.jpg	http://farm3.staticflickr.com/2461/3819672499_7d69c44e49_z.jpg	2009-08-14	Montréal - Quartier international: Square Victoria	The portico to the of Saint Antoine entrance Square-Victoria Métro station is one of the few installations of Hector Guimard's Paris Métro art nouveau entrances outside of Paris.  It was given in 1967 by the RATP (Régie autonome des transports parisiens) to commemorate the collaboration of French and Canadian engineers in building the Montréal Métro.   ..Square-Victoria is a station on the Orange Line of the Montreal Metro rapid transit system, operated by the Société de transport de Montréal (STM).  It was inaugurated on February 6, 1967..Square Victoria (Victoria Square) was built on the empty space at the intersection of Cote du Beaver Hall (Beaver Hall Hill) and McGill Street in 1813.  Formerly known as Place du Marché-à-Foin and Place des Commissaires, it was renamed for Queen Victoria for the visit of the then-Prince of Wales (later King Edward VII) in 1860.  Victoria Square has undergone many aesthetic changes over its history, functioning at times more as a parking lot, other times as a simple open space, while at others being far more refined and cultivated. The Square was restored to its current configuration in 2002 and 2003. It features <a href="http://www.flickr.com/photos/wallyg/3819671011">a statue of Queen Victoria</a>, and trees lining its bounding avenues.	2126	Bouche de métro Guimard; Guimard; hector guimard; art nouveau; sign; Montréal metro; Montreal metro; metro; Société de transport de Montréal; Societe de transport de Montreal; STM; Montréal; Montreal; Quartier international de Montréal; Quartier international; QIM; International District; Ville Marie; Québec; Quebec; Square Victoria; Victoria Square; canada; Quartier international de Montreal; 	There is a map in the street of the city.	a bus stop map in a city near a water fountain	The subway stop Square Victoria entrance and the map of the neighborhood	A map and street sign with building in background.	A map of the town in the middle of the street with buildings in the background. 	45.501745	-73.562012	Canada
