LINK	ORIGINAL	TAKEN	UPLOADED	TITLE	PHOTOGRAPHER	PHOTOGRAPHERLAT	PHOTOGRAPHERLON	PHOTOGRAPHERLOC	DESC	VIEWS	TAG	COCODESC1	COCODESC2	COCODESC3	COCODESC4	COCODESC5	LATITUDE	LONGITUDE	COUNTRY	CITY	COCOTAG	COCOTAGDESC	COCOKEY	COCOSTUFF	STUFFDESC	AA	AB	AC	AD	AE	AF	AG	AH	AI	AJ	AK	AL	AM	AN	AO	AP	AQ	AR	AS	AT	AU	AV	AW	AX	AY	AZ	BA	BB	BC	BD	BE	BF
http://flickr.com/photo.gne?id=3491669985_d81e1050c6_z.jpg	http://farm4.staticflickr.com/3577/3491669985_d81e1050c6_z.jpg	2009-02-05 04:23:07	2009-05-01	Street traffic in Mumbai	World Bank Photo Collection	NULL	NULL	NULL	Mumbai, India. Photo: © Simone D. McCourtie / World Bank..Photo ID: SDM-IN-062 World Bank	15863	Asia; India; Street; Traffic; Motorcycles; Cars; South Asia; Buildings; World Bank; Urban; Urban Development; City; 	People are walking and riding motorcycles on the street	A group of motorists pass very large buildings in asia. 	A bunch of bikers are gathered on a city street. 	people ride their motorcycles beside some cars, passing by an empty street with stores and apartment buildings	A view of motorcyclists riding their bikes through heavy city traffic.	19.043742	72.819228	India	Mumbai	./database/coco_tag/296649.png	car; car; car; motorcycle; motorcycle; person; person; person; person; person; person; bicycle; truck; bird; bird; person; person; person; person; motorcycle; bird; bird; person; person; car; person; 	./database/coco_key/296649.png	./database/coco_stuff/296649.png	banner; building-other; clothes; metal; pavement; road; sky-other; tree; other; 																																
http://flickr.com/photo.gne?id=1755223462_fabbeb8dc3_z.jpg	http://farm3.staticflickr.com/2253/1755223462_fabbeb8dc3_z.jpg	2004-05-30 17:07:43	2007-10-26	Do you dare taking this door?	lorenzaccio*	45.4667971	9.1904984	Milan,Italy	Walking trough the cemetery of Bologna, sometimes narrow paths like this one suddenly appear on the sides of the trail..You cannot expect what you will find in the little roads of this miniaturized and silent city...In fact it seems that people from Bologna, in the past, built their cemetery like a copy of the normal town, but just on a smaller size. With porticoes, doors, roads and paths, you have the impression of walking into a real, mysterious, city...Please, view this <b><a href="http://bighugelabs.com/flickr/onblack.php?id=1755223462&amp;size=large" rel="noreferrer nofollow">Large On Black</a></b>, if you dare :D..Or check a similar shot <a href="http://www.flickr.com/photos/lorenzaccio/1825325274/">here</a>...Lorenzaccio (cc) some rights reserved;.if you wish to use this image for any purpose please contact me:.lorenzaccioposta(at)gmail.com	4703	certosa; bologna; emilia; romagna; italy; italia; monumental; cemetery; cimitero; monumentale; old; way; path; vecchio; percorsa; strada; porta; vaso; door; vase; stretto; narrow; exit; uscita; orange; arancione; cross; croce; minolta; a1; photoshop; lorenzaccio; SuperShot; 	A building wall and pair of doors that are open, along with vases of flowers on the outside of the building.	a building with dirty walls and dirty doors	a run down building with two planters outside the door	a yellow and brown wall a gray door and a sign 	A plaster external wall with multiple old paper images attached.	44.496643	11.309566	Italy	Bologna	./database/coco_tag/502136.png	potted plant; potted plant; vase; vase; 	NULL	./database/coco_stuff/502136.png	door-stuff; floor-other; floor-stone; ground-other; wall-concrete; other; 																																
http://flickr.com/photo.gne?id=2353513897_17393f1b00_z.jpg	http://farm4.staticflickr.com/3146/2353513897_17393f1b00_z.jpg	2007-09-17 12:54:06	2008-03-23	North Berwick Harbour as Seen from the West Links, Scotland	Pet_r	50.0874654	14.4212535	Prague,Czechia	Shot taken from the practice green at Tee No.1. This was one of the last moments of direct sunshine that day. The other came when we left Green No.18.	772	links; golf; Scotland; Pet_r; 2007; North Berwick; West Links; harbour; coast; island; dramatic sky; beach; yachts; Firth of Forth; bench; East Lothian; 	 a bench sitting in the grass facing the water and boats 	A wooden bench overlooking a harbor beneath a cloudy sky.	A beach has a grassy area with a park beach.	A bench that is sitting in the grass.	A bench at the beach next to the sea	56.060428	-2.724437	United Kingdom	North Berwick	./database/coco_tag/522713.png	boat; boat; boat; person; boat; boat; boat; boat; bench; boat; person; boat; boat; 	./database/coco_key/522713.png	./database/coco_stuff/522713.png	clouds; grass; hill; mountain; sand; sea; stone; other; 																																
http://flickr.com/photo.gne?id=9604033757_c21f78484e_z.jpg	http://farm8.staticflickr.com/7296/9604033757_c21f78484e_z.jpg	2013-08-25 19:40:58	2013-08-27	Hairpin band	foodieSarah	NULL	NULL	NULL	Not always a glamorous destination - that famous hairpin being navigated by bus.	257	bus; cars; flickriosapp:filter=NoFilter; hairpin; montecarlo; uploaded:by=flickr_mobile; 	A bus traveling down a curvy road behind a black car.	A group of people cross the curved street.	A curve in a city road with a bus following a car and people walking on the side.	A group of people walk alongside the road.	A fish eye view of a bus rounding a curve on a city street.	43.548879	7.007351	France	Cannes	./database/coco_tag/303818.png	bus; backpack; car; person; person; person; person; person; person; person; person; person; person; car; handbag; person; handbag; person; 	./database/coco_key/303818.png	./database/coco_stuff/303818.png	banner; building-other; bush; metal; mountain; pavement; road; tree; wall-concrete; other; 																																
http://flickr.com/photo.gne?id=3426989867_e5b8439938_z.jpg	http://farm4.staticflickr.com/3646/3426989867_e5b8439938_z.jpg	2009-02-02 01:36:39	2009-04-09	Street traffic in Kathmandu	World Bank Photo Collection	NULL	NULL	NULL	Street traffic in Kathmandu, Nepal. Photo:Simone D. McCourtie / World Bank..Photo ID: SDM-NP-119 World Bank	7066	Asia; Nepal; Street; Vehicle; Car; Automobile; Autobus; Bus; South Asia; Road; Pedestrian; Walk; Walking; Traffic; Cars; World Bank; Urban; City; 	Two buses parked in a parking lot next to cars.	People crossing a busy city street full of vehicles.	A couple of people are crossing a busy street	Pedestrians crossing a street between buses and cars. 	A street with two busses and people walking.	27.709366	85.311927	Nepal	Kathmandu	./database/coco_tag/463730.png	car; motorcycle; bus; bus; person; person; person; person; person; person; person; person; car; car; backpack; person; person; person; person; person; motorcycle; person; 	./database/coco_key/463730.png	./database/coco_stuff/463730.png	building-other; clothes; metal; pavement; plant-other; road; sky-other; structural-other; tree; other; 																																
http://flickr.com/photo.gne?id=9619673502_7bb5875df3_z.jpg	http://farm4.staticflickr.com/3738/9619673502_7bb5875df3_z.jpg	2013-08-27 19:50:42	2013-08-29	Material breakdown	Jurjen van Enter	52.0809856	5.12768396945229	Utrecht,Netherlands	After 180 km, my bike broke down. Four of the spokes of the back wheel broke, and although still cycling, I didn't want to end up stranded 10 km from the nearest train station if more spokes broke, so I decided to call it a day and take the train home instead from Didam.	677	netherlands; cycling; fixed gear; fixie; nederland; fietsen; breng; train; didam; 	A train traveling down tracks next to lights.	A blue and silver train next to train station and trees.	A blue train is next to a sidewalk on the rails.	A passenger train pulls into a train station.	A train coming down the tracks arriving at a station.	51.933252	6.133488	Netherlands	Dijk	./database/coco_tag/184321.png	train; 	NULL	./database/coco_stuff/184321.png	bush; clouds; floor-stone; light; metal; platform; railroad; tree; other; 																																
http://flickr.com/photo.gne?id=488201322_ef2ebfeccb_z.jpg	http://farm1.staticflickr.com/198/488201322_ef2ebfeccb_z.jpg	2007-04-26 14:14:43	2007-05-07	Watching TV	Lebatihem	NULL	NULL	NULL	NULL	84	cat; saffron; 	An orange and white cat standing in front of a flat screen TV	A cat climbing on top of a shelf with a tv	A cat is standing on top of a shelf and staring down.	A cat standing in front of a tv on a tv stand.	A cat perches on top of an entertainment center in front of a TV.	51.50183	-0.232204	United Kingdom	London	./database/coco_tag/25560.png	tv; cat; person; cup; 	./database/coco_key/25560.png	./database/coco_stuff/25560.png	cabinet; curtain; furniture-other; plastic; shelf; wall-concrete; other; 																																
http://flickr.com/photo.gne?id=10079494584_8dd76f48cb_z.jpg	http://farm8.staticflickr.com/7416/10079494584_8dd76f48cb_z.jpg	2013-09-12 10:34:16	2013-10-04	Cala Romantica	Vee-BY	49.1196964	6.1763552	Metz,France	NULL	553	Panorama; 2013; Spain; Espagne; Europe; Majorca; Boat; Sea; 	A yacht with people is near a pier on clear water.	A group of people mingle on a yacht beside the coast.	People are getting off a boat on a rocky island.	People aboard and boarding a party boat in the water.	A pontoon boat ferry full of passengers pushes off from shore. 	39.516953	3.311648	Spain	Cala Romantica	./database/coco_tag/239274.png	boat; person; person; person; person; person; person; person; person; person; person; person; person; person; 	./database/coco_key/239274.png	./database/coco_stuff/239274.png	mountain; rock; sea; sky-other; other; 																																
http://flickr.com/photo.gne?id=4660238513_56f3b73555_z.jpg	http://farm2.staticflickr.com/1304/4660238513_56f3b73555_z.jpg	2010-05-16 16:14:32	2010-06-01	Umbrellas	Siebuhr	55.6433478	12.0819247	Roskilde,Denmark	An Englishman in ... London‽	325	london; union jack; umbrella; bibble; andrea the plugin; andrea; gimp; oxford street; square; b&w; black and white; 	A black and white image with a colored british flag umbrella	A lady in a crowd holding an umbrella with a British flag design.	Color corrected photograph of a person carrying a red, white and blue umbrella.	A colorful umbrella in the center of a black and white picture of a busy city side walk.	A group of people walking on the street in a city.	51.514134	-0.152735	United Kingdom	London	./database/coco_tag/233771.png	bus; person; person; person; person; person; bus; umbrella; clock; handbag; person; umbrella; handbag; person; person; person; person; 	./database/coco_key/233771.png	./database/coco_stuff/233771.png	building-other; clothes; fog; light; metal; pavement; road; textile-other; tree; other; 																																
http://flickr.com/photo.gne?id=301376641_ad9f966666_z.jpg	http://farm1.staticflickr.com/105/301376641_ad9f966666_z.jpg	2006-11-18 15:44:38	2006-11-19	Caswell surfers	delarge	50.8220399	-0.1374061	Brighton,United Kingdom	Locals hit the chilly breaks - Caswell Bay, South Wales	320	surf; surfers; sunbeam; wales; caswell; caswell bay; surfboard; clouds; 	A group of people walking on top of a beach.	The people have surfboards and are on the beach.	Surboarders are in the water and waiting on the shore.	Surfers stand with surfboards on a beach for the early morning sunrise.	Beach full of surfers inside and outside of the water.	51.567894	-4.031982	United Kingdom	Caswell Bay	./database/coco_tag/515445.png	person; person; person; surfboard; surfboard; person; person; 	./database/coco_key/515445.png	./database/coco_stuff/515445.png	clouds; sand; sea; other; 																																
